,key,year,state_abbr,state,recorded,unrecorded
0,2015AK,2015,AK,Alaska,0,4
1,2015AL,2015,AL,Alabama,3,14
2,2015AR,2015,AR,Arkansas,0,4
3,2015AZ,2015,AZ,Arizona,2,40
4,2015CA,2015,CA,California,21,161
5,2015CO,2015,CO,Colorado,1,27
6,2015CT,2015,CT,Connecticut,0,2
7,2015DC,2015,DC,District of Columbia,0,4
8,2015DE,2015,DE,Delaware,1,2
9,2015FL,2015,FL,Florida,2,59
10,2015GA,2015,GA,Georgia,3,24
11,2015HI,2015,HI,Hawaii,0,2
12,2015IA,2015,IA,Iowa,1,4
13,2015ID,2015,ID,Idaho,3,4
14,2015IL,2015,IL,Illinois,1,20
15,2015IN,2015,IN,Indiana,1,17
16,2015KS,2015,KS,Kansas,0,9
17,2015KY,2015,KY,Kentucky,0,15
18,2015LA,2015,LA,Louisiana,4,22
19,2015MA,2015,MA,Massachusetts,0,9
20,2015MD,2015,MD,Maryland,0,15
21,2015ME,2015,ME,Maine,0,2
22,2015MI,2015,MI,Michigan,1,15
23,2015MN,2015,MN,Minnesota,0,12
24,2015MO,2015,MO,Missouri,2,19
25,2015MS,2015,MS,Mississippi,1,7
26,2015MT,2015,MT,Montana,0,4
27,2015NC,2015,NC,North Carolina,1,21
28,2015ND,2015,ND,North Dakota,0,1
29,2015NE,2015,NE,Nebraska,0,8
30,2015NH,2015,NH,New Hampshire,1,2
31,2015NJ,2015,NJ,New Jersey,0,14
32,2015NM,2015,NM,New Mexico,3,17
33,2015NV,2015,NV,Nevada,4,13
34,2015NY,2015,NY,New York,0,18
35,2015OH,2015,OH,Ohio,2,26
36,2015OK,2015,OK,Oklahoma,3,27
37,2015OR,2015,OR,Oregon,0,14
38,2015PA,2015,PA,Pennsylvania,0,17
39,2015RI,2015,RI,Rhode Island,0,0
40,2015SC,2015,SC,South Carolina,0,19
41,2015SD,2015,SD,South Dakota,0,3
42,2015TN,2015,TN,Tennessee,0,19
43,2015TX,2015,TX,Texas,3,96
44,2015UT,2015,UT,Utah,5,5
45,2015VA,2015,VA,Virginia,4,14
46,2015VT,2015,VT,Vermont,1,0
47,2015WA,2015,WA,Washington,0,16
48,2015WI,2015,WI,Wisconsin,0,11
49,2015WV,2015,WV,West Virginia,0,8
50,2015WY,2015,WY,Wyoming,0,5
51,2016AK,2016,AK,Alaska,0,6
52,2016AL,2016,AL,Alabama,8,15
53,2016AR,2016,AR,Arkansas,1,11
54,2016AZ,2016,AZ,Arizona,12,33
55,2016CA,2016,CA,California,23,104
56,2016CO,2016,CO,Colorado,3,24
57,2016CT,2016,CT,Connecticut,0,4
58,2016DC,2016,DC,District of Columbia,2,3
59,2016DE,2016,DE,Delaware,0,1
60,2016FL,2016,FL,Florida,3,52
61,2016GA,2016,GA,Georgia,2,23
62,2016HI,2016,HI,Hawaii,0,6
63,2016IA,2016,IA,Iowa,1,4
64,2016ID,2016,ID,Idaho,2,4
65,2016IL,2016,IL,Illinois,1,25
66,2016IN,2016,IN,Indiana,5,8
67,2016KS,2016,KS,Kansas,2,8
68,2016KY,2016,KY,Kentucky,1,17
69,2016LA,2016,LA,Louisiana,3,15
70,2016MA,2016,MA,Massachusetts,0,12
71,2016MD,2016,MD,Maryland,1,13
72,2016ME,2016,ME,Maine,0,2
73,2016MI,2016,MI,Michigan,3,9
74,2016MN,2016,MN,Minnesota,4,10
75,2016MO,2016,MO,Missouri,0,19
76,2016MS,2016,MS,Mississippi,0,8
77,2016MT,2016,MT,Montana,1,4
78,2016NC,2016,NC,North Carolina,7,25
79,2016ND,2016,ND,North Dakota,0,1
80,2016NE,2016,NE,Nebraska,1,6
81,2016NH,2016,NH,New Hampshire,0,2
82,2016NJ,2016,NJ,New Jersey,1,10
83,2016NM,2016,NM,New Mexico,6,14
84,2016NV,2016,NV,Nevada,2,11
85,2016NY,2016,NY,New York,0,17
86,2016OH,2016,OH,Ohio,0,26
87,2016OK,2016,OK,Oklahoma,4,18
88,2016OR,2016,OR,Oregon,1,13
89,2016PA,2016,PA,Pennsylvania,0,19
90,2016RI,2016,RI,Rhode Island,0,2
91,2016SC,2016,SC,South Carolina,4,13
92,2016SD,2016,SD,South Dakota,1,3
93,2016TN,2016,TN,Tennessee,7,14
94,2016TX,2016,TX,Texas,8,69
95,2016UT,2016,UT,Utah,1,7
96,2016VA,2016,VA,Virginia,5,12
97,2016VT,2016,VT,Vermont,2,0
98,2016WA,2016,WA,Washington,2,22
99,2016WI,2016,WI,Wisconsin,5,12
100,2016WV,2016,WV,West Virginia,2,9
101,2016WY,2016,WY,Wyoming,0,2
102,2017AK,2017,AK,Alaska,2,5
103,2017AL,2017,AL,Alabama,1,20
104,2017AR,2017,AR,Arkansas,0,10
105,2017AZ,2017,AZ,Arizona,3,36
106,2017CA,2017,CA,California,14,129
107,2017CO,2017,CO,Colorado,3,24
108,2017CT,2017,CT,Connecticut,0,5
109,2017DC,2017,DC,District of Columbia,1,1
110,2017DE,2017,DE,Delaware,1,4
111,2017FL,2017,FL,Florida,1,55
112,2017GA,2017,GA,Georgia,2,24
113,2017HI,2017,HI,Hawaii,0,3
114,2017IA,2017,IA,Iowa,2,3
115,2017ID,2017,ID,Idaho,0,5
116,2017IL,2017,IL,Illinois,4,16
117,2017IN,2017,IN,Indiana,1,18
118,2017KS,2017,KS,Kansas,1,11
119,2017KY,2017,KY,Kentucky,3,14
120,2017LA,2017,LA,Louisiana,2,17
121,2017MA,2017,MA,Massachusetts,0,3
122,2017MD,2017,MD,Maryland,7,2
123,2017ME,2017,ME,Maine,0,9
124,2017MI,2017,MI,Michigan,1,12
125,2017MN,2017,MN,Minnesota,1,8
126,2017MO,2017,MO,Missouri,0,31
127,2017MS,2017,MS,Mississippi,2,15
128,2017MT,2017,MT,Montana,0,6
129,2017NC,2017,NC,North Carolina,3,19
130,2017ND,2017,ND,North Dakota,0,3
131,2017NE,2017,NE,Nebraska,0,0
132,2017NH,2017,NH,New Hampshire,0,2
133,2017NJ,2017,NJ,New Jersey,0,10
134,2017NM,2017,NM,New Mexico,5,13
135,2017NV,2017,NV,Nevada,4,11
136,2017NY,2017,NY,New York,2,13
137,2017OH,2017,OH,Ohio,5,29
138,2017OK,2017,OK,Oklahoma,4,20
139,2017OR,2017,OR,Oregon,0,11
140,2017PA,2017,PA,Pennsylvania,0,20
141,2017RI,2017,RI,Rhode Island,1,0
142,2017SC,2017,SC,South Carolina,2,10
143,2017SD,2017,SD,South Dakota,0,3
144,2017TN,2017,TN,Tennessee,1,23
145,2017TX,2017,TX,Texas,9,51
146,2017UT,2017,UT,Utah,3,4
147,2017VA,2017,VA,Virginia,0,22
148,2017VT,2017,VT,Vermont,0,1
149,2017WA,2017,WA,Washington,4,26
150,2017WI,2017,WI,Wisconsin,4,20
151,2017WV,2017,WV,West Virginia,0,9
152,2017WY,2017,WY,Wyoming,0,1
153,2018AK,2018,AK,Alaska,1,6
154,2018AL,2018,AL,Alabama,1,11
155,2018AR,2018,AR,Arkansas,1,20
156,2018AZ,2018,AZ,Arizona,3,46
157,2018CA,2018,CA,California,18,78
158,2018CO,2018,CO,Colorado,5,31
159,2018CT,2018,CT,Connecticut,0,1
160,2018DC,2018,DC,District of Columbia,0,1
161,2018DE,2018,DE,Delaware,0,0
162,2018FL,2018,FL,Florida,5,57
163,2018GA,2018,GA,Georgia,3,36
164,2018HI,2018,HI,Hawaii,1,9
165,2018IA,2018,IA,Iowa,1,8
166,2018ID,2018,ID,Idaho,0,12
167,2018IL,2018,IL,Illinois,3,16
168,2018IN,2018,IN,Indiana,2,16
169,2018KS,2018,KS,Kansas,0,6
170,2018KY,2018,KY,Kentucky,3,16
171,2018LA,2018,LA,Louisiana,1,13
172,2018MA,2018,MA,Massachusetts,0,3
173,2018MD,2018,MD,Maryland,3,9
174,2018ME,2018,ME,Maine,0,2
175,2018MI,2018,MI,Michigan,1,16
176,2018MN,2018,MN,Minnesota,7,5
177,2018MO,2018,MO,Missouri,0,20
178,2018MS,2018,MS,Mississippi,0,9
179,2018MT,2018,MT,Montana,1,4
180,2018NC,2018,NC,North Carolina,6,19
181,2018ND,2018,ND,North Dakota,1,3
182,2018NE,2018,NE,Nebraska,0,1
183,2018NH,2018,NH,New Hampshire,0,2
184,2018NJ,2018,NJ,New Jersey,1,11
185,2018NM,2018,NM,New Mexico,0,19
186,2018NV,2018,NV,Nevada,7,12
187,2018NY,2018,NY,New York,4,10
188,2018OH,2018,OH,Ohio,3,26
189,2018OK,2018,OK,Oklahoma,3,29
190,2018OR,2018,OR,Oregon,1,15
191,2018PA,2018,PA,Pennsylvania,0,21
192,2018RI,2018,RI,Rhode Island,0,1
193,2018SC,2018,SC,South Carolina,3,9
194,2018SD,2018,SD,South Dakota,0,1
195,2018TN,2018,TN,Tennessee,2,23
196,2018TX,2018,TX,Texas,6,64
197,2018UT,2018,UT,Utah,4,14
198,2018VA,2018,VA,Virginia,2,16
199,2018VT,2018,VT,Vermont,0,2
200,2018WA,2018,WA,Washington,1,15
201,2018WI,2018,WI,Wisconsin,3,7
202,2018WV,2018,WV,West Virginia,2,4
203,2018WY,2018,WY,Wyoming,0,4
204,2019AK,2019,AK,Alaska,0,6
205,2019AL,2019,AL,Alabama,0,11
206,2019AR,2019,AR,Arkansas,2,15
207,2019AZ,2019,AZ,Arizona,4,27
208,2019CA,2019,CA,California,24,87
209,2019CO,2019,CO,Colorado,4,28
210,2019CT,2019,CT,Connecticut,1,3
211,2019DC,2019,DC,District of Columbia,0,1
212,2019DE,2019,DE,Delaware,0,0
213,2019FL,2019,FL,Florida,4,53
214,2019GA,2019,GA,Georgia,6,23
215,2019HI,2019,HI,Hawaii,1,6
216,2019IA,2019,IA,Iowa,0,5
217,2019ID,2019,ID,Idaho,1,5
218,2019IL,2019,IL,Illinois,1,9
219,2019IN,2019,IN,Indiana,2,12
220,2019KS,2019,KS,Kansas,0,9
221,2019KY,2019,KY,Kentucky,0,12
222,2019LA,2019,LA,Louisiana,2,17
223,2019MA,2019,MA,Massachusetts,1,2
224,2019MD,2019,MD,Maryland,5,13
225,2019ME,2019,ME,Maine,0,3
226,2019MI,2019,MI,Michigan,0,11
227,2019MN,2019,MN,Minnesota,6,4
228,2019MO,2019,MO,Missouri,0,24
229,2019MS,2019,MS,Mississippi,2,14
230,2019MT,2019,MT,Montana,0,6
231,2019NC,2019,NC,North Carolina,3,28
232,2019ND,2019,ND,North Dakota,0,0
233,2019NE,2019,NE,Nebraska,1,5
234,2019NH,2019,NH,New Hampshire,0,2
235,2019NJ,2019,NJ,New Jersey,0,10
236,2019NM,2019,NM,New Mexico,1,11
237,2019NV,2019,NV,Nevada,4,5
238,2019NY,2019,NY,New York,5,13
239,2019OH,2019,OH,Ohio,3,20
240,2019OK,2019,OK,Oklahoma,10,22
241,2019OR,2019,OR,Oregon,1,15
242,2019PA,2019,PA,Pennsylvania,0,12
243,2019RI,2019,RI,Rhode Island,0,0
244,2019SC,2019,SC,South Carolina,2,12
245,2019SD,2019,SD,South Dakota,0,3
246,2019TN,2019,TN,Tennessee,2,27
247,2019TX,2019,TX,Texas,11,76
248,2019UT,2019,UT,Utah,5,6
249,2019VA,2019,VA,Virginia,1,8
250,2019VT,2019,VT,Vermont,0,2
251,2019WA,2019,WA,Washington,4,26
252,2019WI,2019,WI,Wisconsin,1,16
253,2019WV,2019,WV,West Virginia,1,11
254,2019WY,2019,WY,Wyoming,0,1
